"","NAME_0","NAME_1","codes","temp_mean","agri_gc_mean","barren_gc_mean","ttime_mean_mean","urban_gc_mean","cmr_mean_mean","imr_mean_mean","Battles","Riots","Protests","Armed.clash","Violence.against.civilians","Abduction.forced.disappearance","Attack","Sexual.violence","Mob.violence","Violent.demonstration","Excessive.force.against.protesters","Peaceful.protest","Protest.with.intervention","fatalities","area_km_2","road_length_km","road_density","Homicide_mean","Population_mean","Rate_mean","Homicide_obs","Rate_obs","Population_obs","capital_name","country_capital","capital_coordinates","distance_capital"
"265","Nicaragua","León","NIC",27.8406765376119,59.9903002857143,0,98.7074157142857,0.0551146428571429,13.5887771428571,276.759728571429,0,4,1,0,1,0,1,0,1,3,1,0,0,1,5007.46649167229,2004.03723641506,0.400209814633386,10.6666666666667,403787,2.64165678109168,9,6,6,"Leon",0,"c(-86.8705563888889, 12.4400002777778)",72.4022190151086
"266","Nicaragua","Madriz","NIC",23.4231787978409,79.02855,0,149.4612,0,17.575,358.55035,0,0,2,0,0,0,0,0,0,0,1,1,0,1,1606.03352812949,393.950530580065,0.245294088622727,3.77777777777778,158316.333333333,2.38622111707432,9,6,6,"Somoto",0,"c(-86.5819438888889, 13.4822216666667)",150.969210309307
"267","Nicaragua","Managua","NIC",27.8931704631538,51.7768964285714,0,97.76696,0.0833333428571429,11.4127528571429,267.139928571429,0,1,10,0,1,0,1,0,0,1,5,5,0,7,4599.09704451129,1369.72302674433,0.29782433670953,104.666666666667,1468447.5,7.12770913952774,9,6,6,"Managua",1,"c(-86.2730555555555, 12.1516669444444)",0
"268","Nicaragua","Masaya","NIC",26.3193366881384,51.0964525,0,87.5836575,0.1257716125,10.1997845,273.349275,0,0,2,0,1,0,1,0,0,0,0,2,0,0,603.894215830135,373.083093903141,0.617795441856132,8.55555555555556,356113,2.40248335656254,9,6,6,"Masaya",0,"c(-86.0927780555555, 11.9816666666667)",27.1829872859197
"269","Nicaragua","Matagalpa","NIC",24.1073817998044,70.8526225,0,205.05805,0,13.35182125,387.0981,0,0,5,0,1,0,1,0,0,0,2,3,0,3,8800.37539782781,3120.53197399526,0.354590779703045,43.5555555555556,545463.666666667,7.98505165737692,9,6,6,"Matagalpa",0,"c(-85.9125005555556, 12.9436111111111)",95.9735879398533
"270","Nicaragua","Nueva Segovia","NIC",22.7004068257626,66.3281883333333,0,252.590933333333,0,18.49074,369.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3122.34395161591,534.448501165961,0.171169002982316,12.7777777777778,246943.666666667,5.17436950307605,9,6,6,"Ocotal",0,"c(-86.4355569444444, 13.6625008333333)",168.070917012144
"271","Nicaragua","Río San Juan","NIC",25.4307234193419,30.9438826,0.0246913579,452.69778,0,7.9922008,312.09749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7329.99836528238,366.296479967298,0.0499722457923341,5.77777777777778,119640.666666667,4.82927581294357,9,6,6,"San Carlos",0,"c(-84.7705558333333, 11.1305563888889)",199.000729879708
"272","Nicaragua","Rivas","NIC",26.1329136210235,30.6049396,0.000617284,151.026544,0.05679013,8.6217062,255.50642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971.28306379465,839.309253203846,0.425768002890566,7.77777777777778,173853.166666667,4.47376250137009,9,6,6,"Rivas",0,"c(-85.8333327777778, 11.4344441666667)",92.6897095908822
"273","Panama","Bocas del Toro","PAN",20.3178982453927,13.0298471428571,0.0211567118571429,380.650185714286,0,6.47316928571429,184.820442857143,0,1,1,0,0,0,0,0,0,1,0,1,0,0,4675.22639653566,257.248185502281,0.0550236852044004,6.33333333333333,137850.666666667,4.59434363755948,18,18,18,"Bocas del Toro",0,"c(-82.2408333333333, 9.33861083333333)",303.380223488572
"274","Panama","Chiriquí","PAN",23.8482376918918,18.0243772857143,0.00396825428571429,260.435154285714,0.0255731857142857,6.44459642857143,180.558085714286,0,0,9,0,0,0,0,0,0,0,0,8,1,0,6623.83773351138,1955.25311016394,0.295184331021865,26.8888888888889,436047.666666667,6.1665021841394,18,18,18,"David",0,"c(-82.4127780555555, 8.43138916666667)",326.901903739802
